refID,option/description,offset,numBytes,type
100,Brightness,474,1,
101,Text Lang,475,1,
102,Voice Lang,476,1,
103,Confirmation Skip,477,1,
104,Text Speed,47B,1,
105,Fixed Minimap,488,1,
200,Invert Camera Y,48C,1,
201,Invert Camera X,490,1,
202,Y sensitivity,494,1,
203,X sensitivity,495,1,
204,Controller vibration,496,1,
300,Master Volume,49A,1,
301,BGM Volume,49B,1,
302,Voice Volume,49C,1,
303,SFX Volume,49D,1,
304,Environment Volume,49E,
400,Mouse Sensitivity,4B1,1,
401,Screen Mode,49F,1,
402,Resolution,4A2,1,
403,V-Sync,4A8,1,
404,Display Range Quality,4A9,1,
405,AA Quality,4AA,1,
406,Post Proc Quality,4AB,1,
407,Shadow Quality,4AC,1,
408,Texture Quality,4AD,1,
409,Effect Quality,4AE,1,
410,Foliage Quality,4AF,1,
411,Shading Quality,4B0,1,
900,Deep Mode Unlocked State,4B7,1,
